Chapter,Title,Text,Notes
Seven Islands,Paw Paw,"A native fruit found around Seven Islands. Tastes like a mix of an apple and a banana. Paw Paw flowers are pollinated by beetles and flies.",illustration
Seven Islands,Eastern Bluebird,"While many birds stop over at Seven Islands and areas like that on their migratory routes south (in the fall) and north (in the spring), the Eastern Bluebird is a year-round resident. Bluebirds are obligate cavity nesters - which is why they have experienced such a decline in their population as urban sprawl has increased. Refuges like Seven Islands give them lots of opportunities to find natural cavities to nest in! -MaryRose Weatherton",illustration
Ijams Riverside,Blue Phlox,"Blue Phlox is a native wildflower that blooms in early to mid-spring. These plants provide an important source of early-season nectar for pollinators, like the swallowtail butterfly and other native moths. -MaryRose Weatherton",illustration
Sequoyah Park,Elm Tree,"Trees characterized by an umbrella-shaped crown. The tree near the start of this hike (surrounded by a wire enclosure to prevent cars from being parked nearby) is known as a "Champion" of its kind – the largest Elm in Knoxville.",illustration
Sequoyah Park,Native American Mounds,"These earthen mounds are found in many places along the Mississippi River and its tributaries—like the Tennessee River. Nobody is completely sure why they were built, but some believe they served as gathering spots or markers to return to time and again. The mound here may date back as early as the 1400s, likely created by one of the Native Nations with ancestral ties to the Knoxville region.",none
Knox-Blount Greenway,Bald Eagle,"Common along local rivers, including the river beside this hike---the Tennessee River. You may even spot a nesting pair on nearby Looney Island.",illustration
Ijams Crag,Tennessee Marble,"Mead's Quarry–near the parking area now filled with crystal clear water–was a quarry for what was called "Tennessee Marble". Geologically, this kind of rock is, simply limestone that is particularly fine-grained and polishable, making it marketable as marble for architectural use. Tennessee Marble was used extensively in prominent buildings in the 1800s and early-mid 1900s, including the National Gallery of Art in Washington, D.C.",photo
William Hastie,Eastern Box Turtle,"Box turtles have the unique ability to completely hide in their shells due to a hinged plastron. They are long lived reptiles that can live over 120 years. They have extraordinary memories and are able to know exactly where they are due to an internal map (which is why you should never relocate them). Their populations have been hurt by illegal pet trade. - Alex Edwards",illustration
Sharp's Ridge,Lichen,"There are three primary types of lichens: Foliose (leaf-like in appearance), Crustose (crusty looking), and Fruiticose (coral-like and bushy). They are abundant in the region and are great bioindicators of air quality!
-Amanda Garner",illustration
Norris Dam,Norris Dam,"This was the first dam built by the Tennessee Valley Authority (TVA), completed in 1936. It is 265 feet high and a little more than 1,800 feet wide. Behind it lies Norris Lake, a favorite for paddling and boating, while the Clinch River flows just below.",no drawing needed
House Mountain,Pine Trees,"A family of conifers recognizable by their needles, which usually grow in bundles, and their seeds, which develop in stiff cones—making them distinct from hemlocks, spruces, and firs. Look for pines as you hike up to the ridge.",illustration
Emory Falls,Brushy Mountain State Penitentiary,"A closed prison near Frozen Head State Park is full of lore due to its remote location. Part of the inspiration for the Barkley Marathons (you'll have to look it up). Now the site of a restaurant and distillery.",no drawing needed
Obed Point,Bigleaf Magnolia,"This tree has the largest simple leaf of any North American tree—one single, undivided leaf! In the fall, its leaves scatter across the ground like pages from a newspaper. You'll find it common on the Cumberland Plateau, though it's rare in the Smokies. Search for their large leaves along this trail.",Add photo
Honey Creek,Sandstone,"The Cumberland Plateau's sandstone cliffs tell their age in layers—tan and gray rock streaked with rust-orange where ancient iron has slowly rusted over millions of years. Water and time have carved dramatic overhangs called rockhouses, creating natural shelters that kids can't resist exploring. At Honey Creek, these bluffs tower overhead at nearly every turn.",photo
Angel Falls,Angel Falls,"Angel Falls is more a rapids than a waterfall (it's not very tall), but there's a history to its name: It was a waterfall until the 1940s, when it was dynamited to make the river more easily navigable by paddlers and boaters. It was only a little successful: the rapids are known as being impassable for all but the most intrepid whitewater paddlers.",no drawing needed
Alum Cave,Rosebay Rhododendron,"These plants are commonly seen on slopes near streams, which helps stabilize the soil. Looks similar to Mountain Laurel; has larger leaves. Pretty, but all parts of this plant are toxic to humans and pets! You can't miss the Rosebay Rhododendron on this hike around inspiration point.  -MaryRose Weatherton",illustration
Little River,Eastern Hemlock,"A tree that "feels" like the Smokies. Characterized by its needles being arranged in a flat frond. Threatened by an invasive species, the Hemlock Wooly Adelgid. While many trees in the region are affected (look for a white dusty covering of needles), others are not. Look for it all along this trail, especially at the start.",photo
Mouse Creek,Blue Ridge Two-Lined Salamander,"The Great Smoky Mountains has more than 30 species of salamanders – one of the types of species that contributes to and characterizes the incredible biodiversity of the Smokies. The Blue Ridge Two-Lined Salamander is among the most beautiful salamanders, with its yellow-to-orange coloring and stark black stripes.
- Amanda Garner",illustration
Emory Falls,Trillium,"Native perennial plants with distinctive three-petal flowers that bloom in the spring. These shade-loving plants are often found in the forest understory, where their seeds are dispersed and buried by ants, in a process called myrmecochory. Trillium plants are protected in many places because they are extremely slow-growing. For some species, it can take anywhere from 5-9 years from being planted to their first bloom; a single plant can live up to 25 years! So, next time you see one, make sure you appreciate their beauty with your eyes only.
- MaryRose Weatherton",illustration
Middle Prong,Brook Trout,"The native species of trout in Smokies streams. Speckled and small. Found at high elevations, whereas the Rainbow Trout and Brown Trout were later introduced for fishing.",illustration
Abrams Creek,The Cherokee,"The people of the Cherokee Nation were indigenous to a vast area to the south, east, and west of the Smokies; the Smokies were more a place for gathering and hunting than residing. The Eastern Band of the Cherokee remains an autonomous Nation just south of the Smokies.",no drawing needed
Chestnut Top,Mountain Laurel,"A large bush in the same family as Rhododendron and Blueberries - Heath plants. Beautiful flowers around early June. Can be distinguished from Rhododendron by its location: typically on ridges away from water.",illustration
Abrams Falls,Black Bear,"A symbol of the wildness of the Smokies -- and a very real presence. If you see one, admire their strength, beauty, and intelligence (from a distance!). Commonly seen in nearby Cades Cove. Here is a photo of a mother bear and cubs forage near the trail — time to back away quietly",Photo
Andrews Bald,Fraser Fir,"You'll feel like you're in a different state or country when you spot these trees atop the Smokies – usually at elevations above 5,500 feet. Note the "Christmas tree smell"! Afflicted by the Balsam Wooly Adelgid and potentially a changing climate around the ridge of the Smokies, including Kuwohi, you'll note both dead and diseased and healthy specimens. Recent evidence suggests that the Fraser Firs are healthier as a population than 20-30 years ago.",Need photo
Alum Cave,Jordans Red Cheek,"These iconic Smokies salamanders are found only in the Smokies! If you are above 2,500 ft, you might just see one of these amazing critters.
- Amanda Garner",Illustration
Alum Cave,Red Spruce,"Similar to Fraser Fir, but larger (taller and wider) and found at lower elevations (beginning around 4,000 feet). Majestic. When you see them, you feel like you're in high and remote mountains.",Need photo
Twin Arches,Eastern Copperhead,"The copperhead is our most common of Tennessee's venomous snakes. It is a pit viper, which means it has an external organ (pits) that allow it to see the heat signatures of its prey. This along with its fantastic camouflage makes this a great ambush predator.  Identifiable by its ""Hershey kiss"" pattern. - Alex Edwards",illustration
Abrams Creek,Smallmouth Bass,"The smallmouth bass is Tennessee's state fish. This sunfish species can be identified by the lines on its face and a jaw (maxilla) that does not go past the eye (smaller). They are fantastic gamefish and are often the top predator in the streams and creeks of Tennessee. - Alex Edwards",illustration
Obed Point,Timber Rattlesnake,"The Timber rattlesnake is the most venomous snake in Tennessee.  Though potentially dangerous, this species is reclusive, shy, and would rather hide using its amazing camouflage pattern. They are our largest venomous snake sometimes exceeding 6 ft. in length. Like copperheads they also have heat sensing pits. They are identifiable by their rattle and chevron pattern. - Alex Edwards",Illustration
Lakeshore Park,Appalachian Trail,"Surprisingly, the crest of the Smokies (and the Appalachian Trail) are visible from this park. The Appalachian Trail is more than 2,100 miles long, beginning at Springer Mountain, Georgia, and ending at Mount Katahdin, in Maine. The longest section without a road crossing is in the Smokies – from Fontana Dam to Newfound Gap.",Photo
