trail_number,trail_name,title,text,media_type,image_file
10,Sharp's Ridge,Lichen,"There are three primary types of lichens: Foliose (leaf-like in appearance), Crustose (crusty looking), and Fruiticose (coral-like and bushy). They are abundant in the region and are great bioindicators of air quality!
-Amanda Garner",illustration,lichenwithlabels.png
11,Norris Dam,Norris Dam,"This was the first dam built by the Tennessee Valley Authority (TVA), completed in 1936. It is 265 feet high and a little more than 1,800 feet wide. Behind it lies Norris Lake, a favorite for paddling and boating, while the Clinch River flows just below.",none,
12,House Mountain,Pine Trees,"A family of conifers recognizable by their needles, which usually grow in bundles, and their seeds, which develop in stiff cones—making them distinct from hemlocks, spruces, and firs. Look for pines as you hike up to the ridge.",illustration,
14,Emory Falls at Frozen Head,Brushy Mountain State Penitentiary,A closed prison near Frozen Head State Park is full of lore due to its remote location. Part of the inspiration for the Barkley Marathons (you'll have to look it up). Now the site of a restaurant and distillery.,none,
15,Obed Point Trail,Timber Rattlesnake,"The Timber rattlesnake is the most venomous snake in Tennessee.  Though potentially dangerous, this species is reclusive, shy, and would rather hide using its amazing camouflage pattern. They are our largest venomous snake sometimes exceeding 6 ft. in length. Like copperheads they also have heat sensing pits. They are identifiable by their rattle and chevron pattern. - Alex Edwards",illustration,rattlesnake.PNG
17,Fall Branch Falls,Bigleaf Magnolia,"This tree has the largest simple leaf of any North American tree—one single, undivided leaf! In the fall, its leaves scatter across the ground like pages from a newspaper. You'll find it common on the Cumberland Plateau, though it's rare in the Smokies. Search for their large leaves along this trail.",photo,bigleaf-magnolia.jpeg
18,Twin Arches,Eastern Copperhead,"The copperhead is our most common of Tennessee's venomous snakes. It is a pit viper, which means it has an external organ (pits) that allow it to see the heat signatures of its prey. This along with its fantastic camouflage makes this a great ambush predator.  Identifiable by its ""Hershey kiss"" pattern. - Alex Edwards",illustration,copperhead.PNG
19,Angel Falls Overlook,The Provenance of Abrams Falls,"Angel Falls is more a rapids than a waterfall (it's not very tall), but there's a history to its name: It was a waterfall until the 1940s, when it was dynamited to make the river more easily navigable by paddlers and boaters. It was only a little successful: the rapids are known as being impassable for all but the most intrepid whitewater paddlers.",none,
1,Seven Islands,Paw Paw,A native fruit found around Seven Islands. Tastes like a mix of an apple and a banana. Paw Paw flowers are pollinated by beetles and flies.,illustration,pawpaw.jpg
19,Honey Creek,Sandstone,"The Cumberland Plateau's sandstone cliffs tell their age in layers—tan and gray rock streaked with rust-orange where ancient iron has slowly rusted over millions of years. Water and time have carved dramatic overhangs called rockhouses, creating natural shelters that kids can't resist exploring. At Honey Creek, these bluffs tower overhead at nearly every turn.",photo,jo-bsf-cliff.jpg
21,Spruce Flats Falls,Trillium,"Native perennial plants with distinctive three-petal flowers that bloom in the spring. These shade-loving plants are often found in the forest understory, where their seeds are dispersed and buried by ants, in a process called myrmecochory. Trillium plants are protected in many places because they are extremely slow-growing. For some species, it can take anywhere from 5-9 years from being planted to their first bloom; a single plant can live up to 25 years! So, next time you see one, make sure you appreciate their beauty with your eyes only.
- MaryRose Weatherton",illustration,trillium.PNG
22,Little River,Eastern Hemlock,"A tree that feels"" like the Smokies. Characterized by its needles being arranged in a flat frond. Threatened by an invasive species",photo,hemlock.jpg
23,Mouse Creek,Blue Ridge Two-Lined Salamander,"The Great Smoky Mountains has more than 30 species of salamanders – one of the types of species that contributes to and characterizes the incredible biodiversity of the Smokies. The Blue Ridge Two-Lined Salamander is among the most beautiful salamanders, with its yellow-to-orange coloring and stark black stripes.
- Amanda Garner",illustration,BR2linedsalamader.png
24,Middle Prong,Brook Trout,"The native species of trout in Smokies streams. Speckled and small. Found at high elevations, whereas the Rainbow Trout and Brown Trout were later introduced for fishing.",illustration,
25,Abrams Creek,The Cherokee,"The people of the Cherokee Nation were indigenous to a vast area to the south, east, and west of the Smokies; the Smokies were more a place for gathering and hunting than residing. The Eastern Band of the Cherokee remains an autonomous Nation just south of the Smokies.",none,
25,Abrams Creek,Smallmouth Bass,The smallmouth bass is Tennessee's state fish. This sunfish species can be identified by the lines on its face and a jaw (maxilla) that does not go past the eye (smaller). They are fantastic gamefish and are often the top predator in the streams and creeks of Tennessee. - Alex Edwards,illustration,
26,Look Rock,Fraser Fir,"You'll feel like you're in a different state or country when you spot these trees atop the Smokies – usually at elevations above 5,500 feet. Note the Christmas tree smell! From Look Rock, you can see the ridge of the Smokies where Fraser Firs grow. Afflicted by the Balsam Wooly Adelgid and potentially a changing climate around the ridge of the Smokies.",photo,fir.jpg
27,Chestnut Top,Mountain Laurel,A large bush in the same family as Rhododendron and Blueberries - Heath plants. Beautiful flowers around early June. Can be distinguished from Rhododendron by its location: typically on ridges away from water.,illustration,laurel.PNG
28,Abrams Falls,Black Bear,"A symbol of the wildness of the Smokies -- and a very real presence. If you see one, admire their strength, beauty, and intelligence (from a distance!). Commonly seen in nearby Cades Cove. Here is a photo of a mother bear and cubs forage near the trail — time to back away quietly",photo,bear.jpg
29,Andrews Bald,Jordans Red Cheek,"These iconic Smokies salamanders are found only in the Smokies! If you are above 2,500 ft, you might just see one of these amazing critters.
- Amanda Garner",illustration,red cheeked.PNG
2,Ijams Riverside,Blue Phlox,"Blue Phlox is a native wildflower that blooms in early to mid-spring. These plants provide an important source of early-season nectar for pollinators, like the swallowtail butterfly and other native moths. -MaryRose Weatherton",illustration,phlox.PNG
30,Alum Cave Bluffs,Rosebay Rhododendron,"These plants are commonly seen on slopes near streams, which helps stabilize the soil. Looks similar to Mountain Laurel; has larger leaves. Pretty, but all parts of this plant are toxic to humans and pets! You can't miss the Rosebay Rhododendron on this hike around inspiration point.  -MaryRose Weatherton",illustration,rhodo.PNG
30,Alum Cave Bluffs,Red Spruce,"Similar to Fraser Fir, but larger (taller and wider) and found at lower elevations (beginning around 4,000 feet). Majestic. When you see them, you feel like you're in high and remote mountains.",photo,spruce.jpeg
